"var","global_coef","global_sd","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","BIF","selected_model_coef","boot_coef_median","PR2.5","PR97.5"
"1","Intercept",-1.988,0.737,1,-2.11,0.72,-2.302,-3.28,-0.818,1,-2.235,0.163,-2.366,-2.956,-0.601,NA,NA,NA,NA,NA
"2","victim_3group_act=v1_1or2_times",1.455,0.241,1,1.468,0.24,1.497,0.983,2.036,1,1.409,0.237,1.476,0.981,1.982,1,0.79,0.806,0.324,1.286
"3","victim_3group_act=v2_repeated_being_bullied",3.839,0.48,1,3.826,0.473,3.944,3.066,5.077,1,3.675,0.468,3.821,3.013,4.873,1,2.368,2.435,1.812,3.087
"5","victim_3group_rel=v1_1or2_times",0.885,0.262,1,0.858,0.258,0.881,0.333,1.412,0.823,0.858,0.255,0.886,0,1.381,0.982,0.52,0.533,0.046,0.987
"6","victim_3group_rel=v2_repeated_being_bullied",-0.799,0.575,1,-0.785,0.572,-0.829,-2.36,0.594,0.823,-0.71,0.562,-0.569,-2.164,0.64,0.058,NA,0,-0.269,0
"4","bis1_standardized",0.572,0.123,1,0.52,0.121,0.524,0.28,0.77,0.969,0.55,0.116,0.554,0,0.824,0.9625,0.185,0.193,0,0.401
"7","AUDIT_C_4_a=>=4",1.19,0.434,0.982,1.093,0.428,1.105,0.025,2.083,0.5285,NA,NA,1.022,0,2.023,0.742,0.321,0.354,0,1.117
"10","PHQ9_1yr_new=6-10",0.358,0.258,0.831,0.199,0.244,0.194,-0.195,0.713,0.1605,NA,NA,0,0,0.785,0.133,NA,0,0,0.214
"11","PHQ9_1yr_new=11-14",0.461,0.442,0.831,0.216,0.427,0.175,-0.761,1.111,0.1605,NA,NA,0,0,1.267,0.0475,NA,0,0,0.158
"12","PHQ9_1yr_new=15以上",-0.261,0.532,0.831,-0.675,0.501,-0.534,-1.917,0.388,0.1605,NA,NA,0,-1.386,0.479,0.05,NA,0,-0.196,0
"15","q22_0_a",-0.032,0.031,0.7855,-0.023,0.031,-0.019,-0.084,0.02,0.0635,NA,NA,0,-0.087,0,0.0925,NA,0,-0.018,0
"14","q3_a=男",0.209,0.23,0.773,0.236,0.228,0.278,-0.009,0.758,0.0875,NA,NA,0,0,0.715,0.1685,NA,0,0,0.219
"13","q68_a=是",0.561,0.507,0.7215,0.672,0.5,0.556,-0.077,1.64,0.1575,NA,NA,0,0,1.705,0.28,NA,0,0,0.719
"9","q5_a=沒有",0.511,0.348,0.5805,0.56,0.328,0.43,0,1.203,0.1935,NA,NA,0,0,1.236,0.272,NA,0,0,0.468
"19","school_PR=PR<70",-0.04,0.235,0.499,-0.1,0.232,0,-0.275,0.346,0.017,NA,NA,0,0,0,0.016,NA,0,0,0
"18","q6_a=沒有",-0.046,0.251,0.2255,NA,NA,0,-0.583,0,0.018,NA,NA,0,0,0,0.0225,NA,0,0,0
"16","q8_a=否",0.115,0.322,0.0775,NA,NA,0,0,0.75,0.0435,NA,NA,0,0,0.769,0.0435,NA,0,0,0.098
"8","firstrses_standardized",0.287,0.131,0.055,NA,NA,0,0,0.217,0.3225,NA,NA,0,0,0.503,0.093,NA,0,0,0.084
"17","q7_a=是",-0.202,0.329,0.0355,NA,NA,0,0,0,0.025,NA,NA,0,0,0,0.028,NA,0,-0.002,0
