"var","global_coef","global_sd","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","relative_bias","RMSD","BIF","selected_model_coef","boot_coef_median","PR2.5","PR97.5"
"1","Intercept",-3.84,1.223,1,-4.436,0.422,-4.433,-5.899,-2.511,1,-3.514,0.333,-3.733,-5.193,-2.632,-1,0.563,NA,NA,NA,NA,NA
"2","victim_3group=v1_1or2_times",1.257,0.416,0.996,1.266,0.402,1.298,0.437,2.183,0.9295,1.251,0.408,1.215,0,2.044,-0.1,1.223,0.0305,NA,0,0,0
"3","victim_3group=v2_repeated_being_bullied",2.283,0.512,0.996,1.994,0.474,2.008,1.006,3.086,0.9295,2.03,0.476,2.015,0,3.001,-8.8,1.517,0.365,0,0,0,0.922
"4","bis1_standardized",0.63,0.199,0.9265,0.547,0.186,0.522,0,0.983,0.587,0.523,0.18,0.503,0,0.981,6.4,2.125,0.099,NA,0,0,0.086
"5","q3_a=男",0.874,0.414,0.806,0.915,0.382,0.962,0,1.846,0.3165,NA,NA,0,0,1.654,45.4,1.875,0.03,NA,0,0,0
"6","AUDIT_C_4_a=>=4",1.165,0.566,0.747,0.876,0.502,0.783,0,1.738,0.2,NA,NA,0,0,1.856,29.2,1.874,0.0985,NA,0,0,0.48
"13","q22_0_a",-0.042,0.05,0.447,NA,NA,0,-0.093,0.012,0.0145,NA,NA,0,0,0,162.8,0.862,0.003,NA,0,0,0
"8","school_PR=PR<70",0.661,0.375,0.4095,NA,NA,0,0,1.175,0.114,NA,NA,0,0,1.216,55.2,1.704,0.0065,NA,0,0,0
"7","q5_a=沒有",1.064,0.494,0.323,NA,NA,0,0,1.612,0.192,NA,NA,0,0,1.58,24.9,1.959,0.0175,NA,0,0,0
"17","q68_a=是",-0.406,0.713,0.3115,NA,NA,0,-0.154,0.943,0.0035,NA,NA,0,0,0,-473.9,0.591,0.0145,NA,0,0,0
"14","PHQ9_1yr_new=6-10",-0.347,0.44,0.15,NA,NA,0,-0.836,0.247,0.014,NA,NA,0,0,0,259.2,0.847,0.001,NA,0,0,0
"15","PHQ9_1yr_new=11-14",-0.277,0.745,0.15,NA,NA,0,-1.006,0.554,0.014,NA,NA,0,0,0,263.3,0.417,5e-04,NA,0,0,0
"16","PHQ9_1yr_new=15以上",-0.028,0.782,0.15,NA,NA,0,-0.564,0.747,0.014,NA,NA,0,0,0,-97.6,0.203,0.0025,NA,0,0,0
"9","firstrses_standardized",0.294,0.215,0.056,NA,NA,0,0,0.1,0.0625,NA,NA,0,0,0.526,69.9,1.361,0,NA,0,0,0
"10","q6_a=沒有",0.325,0.388,0.036,NA,NA,0,0,0.725,0.026,NA,NA,0,0,0,149.5,0.874,5e-04,NA,0,0,0
"11","q8_a=否",-1.136,0.636,0.032,NA,NA,0,-2.269,0,0.0185,NA,NA,0,0,0,41,1.774,5e-04,NA,0,0,0
"12","q7_a=是",-0.958,0.67,0.0305,NA,NA,0,-2.286,0,0.016,NA,NA,0,0,0,103.5,1.432,0.0015,NA,0,0,0
