fmla,n,freq,cumulative_freq,AUC,Emax,
180,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.878,0.805,0.028
181,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.879,0.797,0.047
182,firstyrbully2 ~ victim_3group+ q7_a+ AUDIT_C_4_a+ bis1_standardized,2,0.001,0.88,0.784,0.056
183,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.881,0.792,0.046
184,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ q68_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.882,0.798,0.046
185,firstyrbully2 ~ victim_3group+ q7_a+ q6_a+ q5_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.883,0.795,0.046
186,firstyrbully2 ~ victim_3group+ q8_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,2,0.001,0.884,0.787,0.05
187,firstyrbully2 ~ victim_3group+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,2,0.001,0.885,0.785,0.092
188,firstyrbully2 ~ victim_3group+ q8_a+ q22_0_a+ bis1_standardized,2,0.001,0.886,0.783,0.078
189,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.886,0.8,0.045
190,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ q68_a+ bis1_standardized,2,0.001,0.888,0.793,0.113
191,firstyrbully2 ~ victim_3group+ q8_a+ q68_a+ PHQ9_1yr_new+ bis1_standardized,2,0.001,0.888,0.784,0.1
192,firstyrbully2 ~ victim_3group+ q8_a+ q7_a+ q22_0_a+ bis1_standardized,2,0.001,0.89,0.785,0.065
193,firstyrbully2 ~ victim_3group+ school_PR+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.89,0.789,0.1
194,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,2,0.001,0.892,0.796,0.097
195,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.892,0.802,0.051
196,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.894,0.797,0.049
197,firstyrbully2 ~ victim_3group+ school_PR+ q6_a+ bis1_standardized,2,0.001,0.894,0.782,0.095
198,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.896,0.796,0.037
199,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,2,0.001,0.896,0.797,0.095
200,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.898,0.8,0.074
201,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ q68_a+ bis1_standardized,2,0.001,0.898,0.795,0.117
202,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.9,0.795,0.037
203,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,2,0.001,0.9,0.791,0.136
204,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,2,0.001,0.902,0.796,0.099
205,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q7_a+ AUDIT_C_4_a+ bis1_standardized,2,0.001,0.902,0.791,0.053
206,firstyrbully2 ~ victim_3group,1,5.00E-04,0.903,0.721,0
207,firstyrbully2 ~ victim_3group+ AUDIT_C_4_a,1,5.00E-04,0.904,0.736,0.144
208,firstyrbully2 ~ victim_3group+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.904,0.786,0.066
209,firstyrbully2 ~ victim_3group+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.904,0.779,0.171
210,firstyrbully2 ~ victim_3group+ q3_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.905,0.791,0.061
211,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.906,0.798,0.047
212,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.906,0.797,0.047
213,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.906,0.797,0.066
214,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ q68_a+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.907,0.795,0.04
215,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.908,0.796,0.043
216,firstyrbully2 ~ victim_3group+ q3_a+ q6_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.908,0.788,0.116
217,firstyrbully2 ~ victim_3group+ q3_a+ q6_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.908,0.789,0.09
218,firstyrbully2 ~ victim_3group+ q3_a+ q6_a+ PHQ9_1yr_new+ q22_0_a+ bis1_standardized,1,5.00E-04,0.909,0.787,0.051
219,firstyrbully2 ~ victim_3group+ q3_a+ q6_a+ q5_a+ bis1_standardized,1,5.00E-04,0.91,0.793,0.072
220,firstyrbully2 ~ victim_3group+ q3_a+ q6_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.91,0.798,0.048
221,firstyrbully2 ~ victim_3group+ q3_a+ q68_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.91,0.788,0.132
222,firstyrbully2 ~ victim_3group+ q3_a+ q68_a+ bis1_standardized,1,5.00E-04,0.911,0.785,0.077
223,firstyrbully2 ~ victim_3group+ q3_a+ q68_a+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.912,0.787,0.045
224,firstyrbully2 ~ victim_3group+ q3_a+ q68_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.912,0.786,0.062
225,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.912,0.789,0.127
226,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.913,0.79,0.094
227,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.914,0.79,0.129
228,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.914,0.788,0.051
229,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.914,0.799,0.084
230,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.915,0.801,0.076
231,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.916,0.801,0.026
232,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.916,0.8,0.064
233,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.916,0.799,0.064
234,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ q68_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.917,0.799,0.125
235,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ q68_a+ bis1_standardized,1,5.00E-04,0.918,0.796,0.105
236,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.918,0.803,0.048
237,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ q68_a+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.918,0.796,0.045
238,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.919,0.798,0.044
239,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q6_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.92,0.792,0.079
240,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ AUDIT_C_4_a,1,5.00E-04,0.92,0.758,0.155
241,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.92,0.79,0.094
242,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.921,0.792,0.115
243,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.922,0.786,0.033
244,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.922,0.792,0.047
245,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.922,0.788,0.034
246,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.923,0.799,0.085
247,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q5_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.924,0.794,0.062
248,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.924,0.797,0.046
249,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q5_a+ q68_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.924,0.798,0.046
250,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q6_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.925,0.792,0.119
251,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.926,0.793,0.048
252,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q7_a+ bis1_standardized,1,5.00E-04,0.926,0.788,0.037
253,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q7_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.926,0.792,0.07
254,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q7_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.927,0.789,0.039
255,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q7_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.928,0.799,0.112
256,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q7_a+ q5_a+ bis1_standardized,1,5.00E-04,0.928,0.796,0.092
257,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q7_a+ q6_a+ q5_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.928,0.798,0.063
258,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.929,0.8,0.057
259,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.93,0.796,0.066
260,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.93,0.797,0.029
261,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ q68_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.93,0.799,0.087
262,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.931,0.802,0.031
263,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q6_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.932,0.79,0.104
264,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q6_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.932,0.791,0.079
265,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q6_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.932,0.791,0.051
266,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q6_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.933,0.798,0.099
267,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q6_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.934,0.799,0.08
268,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q6_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.934,0.8,0.065
269,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q6_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.934,0.803,0.023
270,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q68_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.935,0.79,0.108
271,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.936,0.789,0.037
272,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.936,0.796,0.042
273,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.936,0.789,0.054
274,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.937,0.788,0.035
275,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.938,0.801,0.09
276,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.938,0.803,0.057
277,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.938,0.801,0.056
278,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.939,0.802,0.057
279,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.94,0.799,0.036
280,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q5_a+ q68_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.94,0.801,0.106
281,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q6_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.94,0.789,0.035
282,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q6_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.941,0.8,0.103
283,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q6_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.942,0.803,0.022
284,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q7_a+ q68_a+ bis1_standardized,1,5.00E-04,0.942,0.788,0.076
285,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.942,0.793,0.088
286,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a,1,5.00E-04,0.943,0.775,0.142
287,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.944,0.791,0.089
288,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.944,0.795,0.08
289,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.944,0.79,0.036
290,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.945,0.8,0.068
291,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q68_a+ bis1_standardized,1,5.00E-04,0.946,0.79,0.059
292,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.946,0.795,0.112
293,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ PHQ9_1yr_new+ q22_0_a+ bis1_standardized,1,5.00E-04,0.946,0.793,0.064
294,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.947,0.796,0.084
295,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.948,0.801,0.108
296,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ q5_a+ bis1_standardized,1,5.00E-04,0.948,0.798,0.094
297,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.948,0.802,0.05
298,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ q5_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.949,0.799,0.079
299,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.95,0.806,0.031
300,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ q7_a+ q6_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.95,0.795,0.073
301,firstyrbully2 ~ victim_3group+ q5_a+ AUDIT_C_4_a,1,5.00E-04,0.95,0.752,0.135
302,firstyrbully2 ~ victim_3group+ q5_a+ q68_a,1,5.00E-04,0.951,0.747,0.35
303,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ AUDIT_C_4_a,1,5.00E-04,0.952,0.755,0.245
304,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.952,0.794,0.111
305,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.952,0.794,0.07
306,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.953,0.795,0.082
307,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.954,0.794,0.065
308,firstyrbully2 ~ victim_3group+ q6_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.954,0.788,0.04
309,firstyrbully2 ~ victim_3group+ q6_a+ q5_a+ bis1_standardized,1,5.00E-04,0.954,0.79,0.055
310,firstyrbully2 ~ victim_3group+ q6_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.955,0.796,0.021
311,firstyrbully2 ~ victim_3group+ q6_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.956,0.799,0.029
312,firstyrbully2 ~ victim_3group+ q6_a+ q5_a+ q68_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.956,0.792,0.104
313,firstyrbully2 ~ victim_3group+ q6_a+ q68_a+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.956,0.782,0.085
314,firstyrbully2 ~ victim_3group+ q6_a+ q68_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.957,0.782,0.069
315,firstyrbully2 ~ victim_3group+ q68_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.958,0.786,0.064
316,firstyrbully2 ~ victim_3group+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.958,0.788,0.049
317,firstyrbully2 ~ victim_3group+ q68_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.958,0.787,0.051
318,firstyrbully2 ~ victim_3group+ q7_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.959,0.786,0.038
319,firstyrbully2 ~ victim_3group+ q7_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.96,0.78,0.078
320,firstyrbully2 ~ victim_3group+ q7_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.96,0.784,0.074
321,firstyrbully2 ~ victim_3group+ q7_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.96,0.788,0.049
322,firstyrbully2 ~ victim_3group+ q7_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.961,0.792,0.047
323,firstyrbully2 ~ victim_3group+ q7_a+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.962,0.779,0.141
324,firstyrbully2 ~ victim_3group+ q7_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.962,0.786,0.091
325,firstyrbully2 ~ victim_3group+ q7_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.962,0.782,0.073
326,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.963,0.798,0.026
327,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.964,0.791,0.075
328,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.964,0.794,0.061
329,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ q68_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.964,0.795,0.11
330,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ q68_a+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.965,0.793,0.058
331,firstyrbully2 ~ victim_3group+ q7_a+ q6_a+ q5_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.966,0.794,0.082
332,firstyrbully2 ~ victim_3group+ q7_a+ q6_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.966,0.799,0.077
333,firstyrbully2 ~ victim_3group+ q7_a+ q6_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.966,0.801,0.04
334,firstyrbully2 ~ victim_3group+ q8_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.967,0.79,0.045
335,firstyrbully2 ~ victim_3group+ q8_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.968,0.782,0.099
336,firstyrbully2 ~ victim_3group+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.968,0.788,0.08
337,firstyrbully2 ~ victim_3group+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.968,0.793,0.044
338,firstyrbully2 ~ victim_3group+ q8_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.969,0.786,0.144
339,firstyrbully2 ~ victim_3group+ q8_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.97,0.785,0.083
340,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.97,0.794,0.093
341,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.97,0.797,0.087
342,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.971,0.791,0.052
343,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.972,0.791,0.078
