fmla,n,freq,cumulative_freq,AUC,Emax,
47,firstyrbully2 ~ victim_3group+ q7_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,9,0.0045,0.61,0.799,0.078
48,firstyrbully2 ~ victim_3group+ q22_0_a+ firstrses_standardized+ bis1_standardized,8,0.004,0.614,0.783,0.057
49,firstyrbully2 ~ victim_3group+ q3_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,8,0.004,0.618,0.788,0.049
50,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ PHQ9_1yr_new+ bis1_standardized,8,0.004,0.622,0.794,0.048
51,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,8,0.004,0.626,0.796,0.042
52,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q8_a+ bis1_standardized,8,0.004,0.63,0.789,0.035
53,firstyrbully2 ~ victim_3group+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,8,0.004,0.634,0.792,0.065
54,firstyrbully2 ~ victim_3group+ q5_a+ q22_0_a+ bis1_standardized,8,0.004,0.638,0.791,0.06
55,firstyrbully2 ~ victim_3group+ q8_a+ AUDIT_C_4_a+ bis1_standardized,8,0.004,0.642,0.785,0.056
56,firstyrbully2 ~ victim_3group+ q8_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,8,0.004,0.646,0.786,0.043
57,firstyrbully2 ~ victim_3group+ school_PR+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,8,0.004,0.65,0.788,0.041
58,firstyrbully2 ~ victim_3group+ school_PR+ q22_0_a+ firstrses_standardized+ bis1_standardized,8,0.004,0.654,0.785,0.07
59,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,8,0.004,0.658,0.794,0.041
60,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ bis1_standardized,8,0.004,0.662,0.794,0.064
61,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ firstrses_standardized+ bis1_standardized,7,0.0035,0.665,0.794,0.044
